Title,Authors,Link,Abstract,Citations,AI/ML Research?,Survey?,RecSys?,Mamba?,Published in,Conference
EchoMamba4Rec: Harmonizing Bidirectional State Space Models with Spectral Filtering for Advanced Sequential Recommendation,"Y Wang,X He,S Zhu- arXiv preprint arXiv:2406.02638, 2024 - arxiv.org",https://arxiv.org/abs/2406.02638,Predicting user preferences and sequential dependencies based on historical behavior isthe core goal of sequential recommendation. Although attention-based models have shown …,,True,Concrete,True,True,Pre-print,
"Train once, deploy anywhere: Matryoshka representation learning for multimodal recommendation","Y Wang,Z Yue,H Zeng,D Wang,J McAuley- arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.16627,"… recommendation, which requires adaptive and interactive responses. In this study, we focuson sequential recommendation … learning for multimodal recommendation (fMRLRec). Our …",,True,Concrete,True,True,Conference,Findings of EMNLP 2024
Test-Time Alignment for Tracking User Interest Shifts in Sequential Recommendation,"C Zhang,X Zhang,T Shi,J Xu,JR Wen- arXiv preprint arXiv:2504.01489, 2025 - arxiv.org",https://arxiv.org/abs/2504.01489,… interest shifts in sequential recommendation. While TTT … recommendations during testing.To address the above challenges of tracking user interest shifts in sequential recommendation …,,True,Concrete,True,True,Conference,RecSys 2025
A Local context enhanced Consistency-aware Mamba-based Sequential Recommendation model,"Z Zhang,B Yang, Y Lu - Information Processing & Management, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0306457325000184,Sequential recommendation (SR) focuses on capturing users’ interests from their historicalbehaviors. Transformer-based SR models have demonstrated promising performance by …,Related articles,True,Concrete,True,True,Journal,Information Processing & Management (2025)
Coformer for session-based recommendation with dual positional information,"W Li, Z Zhu, H Dong, C Chen,M Gao,W Fan- Expert systems with …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0957417425013545,Session-based recommendation aims to provide recommendation list based on the recentinteraction behaviors of anonymous users. Existing session-based recommender systems …,Related articles,True,Concrete,True,True,Journal,Expert Systems with Applications (2025.07)
Auto Encoding Neural Process for Multi-interest Recommendation,"Y Jiang,Y Xu, Y Yang, F Yang,P Wang… - Proceedings of the AAAI …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/33293,"… Multi-interest recommendation constantly aspires to an ora… , and boost the recommendationperformance with remarkable … In this paper, we revisit multi-interest recommendation with the …",,True,Concrete,True,True,Conference,AAAI 2025
Parse-ego4d: Personal action recommendation suggestions for egocentric videos,"S Abreu,TD Do,K Ahuja,EJ Gonzalez, L Payne… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2407.09503,… We propose two tasks for action recommendation based on the PARSE-Ego4D dataset.Each task aims to build action recommendation systems either for (1) explicit user queries or (2) …,,True,Concrete,True,True,Pre-print,
Hyperbolic Variational Graph Auto-Encoder for Next POI Recommendation,"Y Liu,L Qi,X Mao, W Liu,F Wang,X Xu… - Proceedings of the …, 2025 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3696410.3714804?casa_token=JRj4iolnyKQAAAAA:bwNhbx76DxA4vZ0t6Q_QEBMOyVx54FTnzrJNHCr-8RS03f5tDw3g93LWNRUq42KBO_4HaiWjXU-pWA,"… ) recommendation has become a crucial task in Location-Based Social Networks (LBSNs),which provide personalized recommendations … inherent in POI recommendations. To address …",,True,Concrete,True,True,Conference,WWW 2025 Poster Session
GeoMamba: Towards Multi-granular POI Recommendation with Geographical State Space Model,"Y Qin, J Xie,Z Xiao,M Zhang- Proceedings of the AAAI Conference on …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/33360,"Point-of-Interest (POI) recommendation plays an important role in a wide range of location-basedsocial network ap-plications, aiming to accurately predicting users’ next visits based on …",,True,Concrete,True,True,Journal,IEEE Access 2025
Mlsa4rec: Mamba combined with low-rank decomposed self-attention for sequential recommendation,"J Su, Z Huang - arXiv preprint arXiv:2407.13135, 2024 - arxiv.org",https://arxiv.org/abs/2407.13135,"… recommendation framework, Mamba combined with Low-Rank decomposed Self-Attentionfor Sequential Recommendation (… a novel hybrid sequence recommendation framework with …",,True,Concrete,True,True,Pre-print,
STAR-Rec: Making Peace with Length Variance and Pattern Diversity in Sequential Recommendation,"M Wang,S Zhang,R Guo, W Wang,X Wei,Z Liu… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2505.03484,"… preference-aware-Attention based Recommendation), a novel … -Rec, a novel sequentialrecommendation framework that … be naturally unified in recommendation scenarios, where SSM …",,True,Concrete,True,True,Conference,SIGIR 2025
MMM4Rec: An Transfer-Efficient Framework for Multi-modal Sequential Recommendation,"H Fan, Y Hu, K Fang,Q Liu, H Liu - arXiv preprint arXiv:2506.02916, 2025 - arxiv.org",https://arxiv.org/abs/2506.02916,"… aligned with the recommendation semantic space, … Recommendation (SR) principles,aiming to assist software engineers in rapidly adapting pre-trained multi-modal recommendation …",,True,Concrete,True,True,Pre-print,
PatchRec: Multi-Grained Patching for Efficient LLM-based Sequential Recommendation,"J Liao,R Xie,S Li,X Wang,X Sun,Z Kang… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2501.15087,"Large Language Models for sequential recommendation (LLM4SR), which transform user-iteminteractions into language modeling, have shown promising results. However, due to the …",,True,Concrete,True,True,Pre-print,SIGIR 2025
GeoMamba: Towards Efficient Geography-aware Sequential POI Recommendation,"J Chen, H Wang, J Shang - IEEE Access, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10719990/,"… to-end sequential POI recommendation framework, to realize … of Mamba in sequential POIrecommendation. Take a step … attains superior recommendation performance against several …",,True,Concrete,True,True,Journal,IEEE Access 2025
M3Rec: Selective State Space Models with Mixture-of-Modality Experts for Multi-Modal Sequential Recommendation,"X Guo, T Zhang, Y Xue,C Wang… - ICASSP 2025-2025 …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10887582/,"… experts for Multimodal sequential recommendation. Mamba [… multimodal sequentialrecommendation, which incorporates … models in multimodal sequential recommendation …",Cited by 2,True,Concrete,True,True,Conference,IEEE ICASSP 2025
TiM4Rec: An Efficient Sequential Recommendation Model Based on Time-Aware Structured State Space Duality Model,"H Fan, M Zhu, Y Hu, H Feng, Z He, H Liu… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.16182,"… the SSD architecture for sequential recommendation, showing promising results in …recommendation tasks. Addressing this challenge, we propose a novel sequential recommendation …",,True,Concrete,True,True,Pre-print,
SS4Rec: Continuous-Time Sequential Recommendation with State Space Models,"W Xiao, H Wang,Q Zhou- arXiv preprint arXiv:2502.08132, 2025 - arxiv.org",https://arxiv.org/abs/2502.08132,… Sequential recommendation is a key area in the field of recommendation systems aiming to… called SS4Rec for continuous-time sequential recommendation. SS4Rec integrates a time-…,,True,Concrete,True,True,Pre-print,
Gated Rotary-Enhanced Linear Attention for Long-term Sequential Recommendation,"J Hu,W Zhou, H Shen, X Du, J Liao, J Wen… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2506.13315,"In Sequential Recommendation Systems (SRSs), Transformer models show remarkableperformance but face computation cost challenges when modeling long-term user behavior …",,True,Concrete,True,True,Pre-print,
Mamba for Scalable and Efficient Personalized Recommendations,"A Starnes,C Webster- arXiv preprint arXiv:2409.17165, 2024 - arxiv.org",https://arxiv.org/abs/2409.17165,… tabular data in personalized recommendation systems. We … tabular data in personalizedrecommendation systems. The … and efficiency of recommendation systems while maintaining …,,True,Concrete,True,True,Pre-print,
Mitigating Distribution Shifts in Sequential Recommendation: An Invariance Perspective,"Y Liao,Y Yang,M Hou,L Wu,H Xu, H Liu - 2025 - le-wu.com",https://le-wu.com/files/Publications/CONFERENCES/SIGIR25-IDEA.pdf,Sequential recommendation aims to learn users’ dynamic preferences from their historicalinteractions and predict the next item they are most likely to engage with. In real-world …,,True,Concrete,True,True,Conference,SIGIR 2025
Improving Sequential Recommendation via Sequence Modeling and Transfer Learning,B Peng- 2024 - search.proquest.com,https://search.proquest.com/openview/2fefeedd6b006dcfe4966ed0bfc86b18/1?pq-origsite=gscholar&cbl=18750&diss=y,"… Any opinions, findings, and conclusions or recommendations expressed in this dissertationmaterial are those of the author and do not necessarily reflect the views of the funding …",,False,Survey,True,False,,
Multi-Grained Patch Training for Efficient LLM-based Recommendation,"J Liao,R Xie, S Li, X Wang,X Sun,Z Kang,X He- 2025 - hexiangnan.github.io",https://hexiangnan.github.io/papers/sigir25-PatchRec.pdf,"Large Language Models (LLMs) have emerged as a new paradigm for recommendation byconverting interacted item history into language modeling. However, constrained by the …",,True,Concrete,True,True,Conference,SIGIR 2025
A Comparative Analysis of Modeling Paradigms and Techniques in Sequential Recommendation,"Y Jia - The 4th International Conference on Economic …, 2024 - books.google.com",https://books.google.com/books?hl=en&lr=&id=-3olEQAAQBAJ&oi=fnd&pg=PA329&dq=recommendation&ots=Pn8-q7iJ1J&sig=_qU25p4n6EZFKzrRwEwWZ2EoyDE,"… recommendation approaches that treat user interactions as independent events, sequentialrecommendation systems … recommendations tailored to the user's current session or context. …",,True,Survey,True,False,Journal,
Neural inductive biases for sequential recommendation,C He- 2025 - dr.ntu.edu.sg,https://dr.ntu.edu.sg/handle/10356/182754,"… recommendation tasks: (i) Next Item Recommendation, which predicts a single next item; (ii)Next Basket Recommendation… and (iv) Temporal Sets Recommendation, which incorporates …",,False,Survey,True,False,,
Buyer-Side Recommendation Agents,"A Qin,L Butler,YE Erginbas,K Ramchandran- 2025 - eecs.berkeley.edu",https://www2.eecs.berkeley.edu/Pubs/TechRpts/2025/EECS-2025-118.pdf,"… recommendation agents: systems designed to model and maximize an individual buyer’sutility. We apply candidate retrieval, sequential recommendation… many recommendation agents…",,False,Survey,True,False,,
F2MSA2: Integrating Mamba and Self-Attention for Sequential Recommendation,"R Jiang - 2024 4th International Conference on Artificial …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10900161/,"… To address these issues, this work proposes a sequential recommendation model calledF2MSA2 This model combines Mamba and SA for hybrid modelling. A modified version of the …",Related articles,True,Concrete,True,True,Conference,IEEE ICAIRC 2025
Conditional Information Bottleneck Approach for Out-of-Distribution Sequential Recommendation,"B Wu, W Shen, W Xie,J Zheng, Y Cheng, Q Ma - openreview.net",https://openreview.net/forum?id=h9dnHqrkfa,"Sequential recommendation (SR) aims to suggest items users are most likely to engage withnext based on their past interactions. However, in practice, SR systems often face the out-of-…",,True,Concrete,True,False,,
PARSE-Ego4D: Toward Bidirectionally Aligned Action Recommendations for Egocentric Videos,"S Abreu,TD Do,K Ahuja,EJ Gonzalez, L Payne… - ICLR 2025 Workshop on … - openreview.net",https://openreview.net/forum?id=LzApvoBSRj,… there is a need for personalization in action recommendation systems based on our proposedaction … for building useful and valuable action recommendation systems of the sort that are …,,True,Concrete,True,True,Pre-print,
Glint-ru: Gated lightweight intelligent recurrent units for sequential recommender systems,"S Zhang,M Wang, W Wang,J Gao,X Zhao… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2406.10244,"… Uniquely, we propose an advanced recommendation framework that integrates the linearattention mechanism and efficient dense selective GRU module, which further reduces the …",,True,Concrete,True,False,Conference,KDD 2025
nnu-net revisited: A call for rigorous validation in 3d medical image segmentation,"F Isensee,T Wald,C Ulrich,M Baumgartner… - … Conference on Medical …, 2024 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-72114-4_47,"… To counteract this, we introduce: 1) A systematic collection of validation pitfalls along withrecommendations for their avoidance, 2) The release of updated standardized baselines …",,True,Survey,False,False,,
From matching to generation: A survey on generative information retrieval,"X Li,J Jin,Y Zhou,Y Zhang, P Zhang,Y Zhu… - ACM Transactions on …, 2025 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3722552?casa_token=IhJI8YLi0uUAAAAA:k_ovAWP4RVWP6kPQdhU2Ai8cFtC-ppqGzPatrST-wZyJMXL7QAORA_is9DjrqggK_UuEsgP4LsCxcQ,"… [76], Bing [196], and Baidu [209], to engaging with question-answering or dialogue systemslike ChatGPT [209] and Bing Chat [197], and discovering content via recommendation …",,True,Survey,True,False,Journal,ACM Transactions on Information Systems
Catalog of General Ethical Requirements for AI Certification,"NK Corrêa, JM Mönig - arXiv preprint arXiv:2408.12289, 2024 - arxiv.org",https://arxiv.org/abs/2408.12289,"… ethical principles with value-specific recommendations for tools to implement these principlesinto technology. Our value-specific recommendations address the principles of fairness, …",,False,,,,,
EMK-KEN: A high-performance approach for assessing knowledge value in citation network,"Z Qu, CZ Liu - Knowledge-Based Systems, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0950705125009943,"… It also shows practical application potential in scientometric analysis and academicrecommendation systems, helping researchers identify high-impact articles more accurately. …",,True,Concrete,True,True,Journal,Knowledge-Based Systems
From protoscience to epistemic monoculture: How benchmarking set the stage for the deep learning revolution,"BJ Koch,D Peterson- arXiv preprint arXiv:2404.06647, 2024 - arxiv.org",https://arxiv.org/abs/2404.06647,"… this agreement, scientists would be granted the autonomy to set their own agenda andevaluation mechanisms in exchange for technological products and/or policy recommendations …",,False,,,,,
Snakes and ladders: Accelerating state space model inference with speculative decoding,"Y Wu, Y Dukler,M Trager,A Achille,W Xia,S Soatto- 2024 - amazon.science",https://www.amazon.science/publications/snakes-and-ladders-accelerating-state-space-model-inference-with-speculative-decoding,… The team will develop forecasts on key business dimensions with optimizationrecommendations related to performance and efficiency opportunities across our global software …,,True,Concrete,False,True,Conference,ENLSP workshop at NeurIPS 2024
ACEGEN: Reinforcement learning of generative chemical agents for drug discovery,"A Bou,M Thomas, S Dittert,C Navarro… - Journal of Chemical …, 2024 - ACS Publications",https://pubs.acs.org/doi/abs/10.1021/acs.jcim.4c00895?casa_token=oKuP_QcVUOgAAAAA:TpBsKTZnTjUbhy8LG-e3l4yguAxRwTivHJwJcglyObFRu8vEywgZD402mE15WAOPVd0TDTbt6mwc5LWe&casa_token=r5v85KS8n6EAAAAA:GuRMRb4FOz-5nPeAOU-5d0LgdK_pgUzV3tkt6yPfsn1GUgxQNm74J67vz6vO8kulcutUlULLNc_73oh4,… Get article recommendations from ACS based on references in your Mendeley library. …Get article recommendations from ACS based on references in your Mendeley library. …,,True,Concrete,False,False,,
Adaptable and Reliable Text Classification using Large Language Models,"Z Wang,Y Pang, Y Lin,X Zhu- arXiv preprint arXiv:2405.10523, 2024 - arxiv.org",https://arxiv.org/abs/2405.10523,"Text classification is fundamental in Natural Language Processing (NLP), and the advent ofLarge Language Models (LLMs) has revolutionized the field. This paper introduces an …",,True,Concrete,False,False,,
Disentangled knowledge tracing for alleviating cognitive bias,"Y Zhou, Z Lv,S Zhang,J Chen- Proceedings of the ACM on Web …, 2025 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3696410.3714607?casa_token=UClnJtgcTSkAAAAA:BuhHYvfmAvDA477zMAcUNpo0i0doNtjAqUDhEuXrSACIlLn_IHgo_xFYZnHTjJV24P1wTBS69lUAtg,"… More seriously, this bias is amplified with the exercise recommendations by ITS. After delvinginto the causal relations in the KT models, we identify the main cause as the confounder …",,True,Concrete,False,False,,
Judge a Book by its Cover: A Multimodal Approach to Book Genre Prediction,"R Toosi,A Hosseini,R Toosi… - 2025 11th International …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/11006189/,"In today's visually driven market, book cover design plays a crucial role in conveying a work'snarrative and thematic essence. However, conventional recommendation systems have …",Related articles,True,Concrete,True,True,Conference,ICWR 2025
Scaled supervision is an implicit lipschitz regularizer,"Z Ouyang,C Zhang,Y Jia,S Vosoughi- Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/ICWSM/article/view/35880,"… Predictive Improvement For all the baseline models, we first evaluate their recommendationperformance on the three benchmark datasets by the predictive metrics, AUC (the higher the …",,True,Concrete,True,False,Conference,ICWSM by AAAI 2025
A Survey on Mamba Architecture for Vision Applications,"F Ibrahim,G Liu,G Wang- arXiv preprint arXiv:2502.07161, 2025 - arxiv.org",https://arxiv.org/abs/2502.07161,"… surveys that cover applications in text, recommendation systems, and medical imaging [17]–[…, and object detection, giving practical recommendations for selecting the best architectures …",,True,Survey,False,True,,
METAPLANTCODE: Harmonizing Plant Metabarcoding Pipelines in Europe,"A Gardette,Y Sklab,E Belda,E Chenin… - … Information Science and …, 2024 - hal.science",https://hal.science/hal-04686313/,"… The project's objectives include providing best practice recommendations, optimizinganalysis pipelines for species identification, and creating user-friendly reference databases. To …",,False,Concrete,False,False,,
Exploring the synergies of hybrid convolutional neural network and Vision Transformer architectures for computer vision: A survey,"Y Haruna, S Qin,AHA Chukkol,AA Yusuf, I Bello… - … Applications of Artificial …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0952197625000570,"… among various hybrid architectures, (4) challenges and future directions for hybrid models,(5) lastly, the survey concludes with a summary of key findings and recommendations. …",Cited by 6,True,Survey,False,False,,
A survey of transformer enabled time series synthesis,"A Sommers,L Cummins,S Mittal… - 2024 IEEE 10th …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10835781/,… RECOMMENDATIONS This section provides recommendations for specific practices andfuture lines of inquiry. Investigators are encouraged to refer to the works reviewed for …,,True,Survey,False,False,,
Promises and pitfalls of artificial intelligence models in forecasting rheumatoid arthritis treatment response and outcomes,"A Garcia-Agundez, G Schmajuk,J Yazdany- Seminars in Arthritis and …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0049017224002245,"… First, AI models could eventually provide point-of-care treatment recommendations informedby … clinicians with tools and visualizations to understand and trust the AI's recommendations. …",,True,,False,False,,
An empirical study on normalization in mamba,"P Feng, Y Wang, Y Ni, Z Li, W Wu, L Huang - 2025 - openreview.net",https://openreview.net/forum?id=YK8eO7BEkJ,"… Furthermore, we provide practical recommendations for selecting appropriate normalizationtechniques in designing Mamba architectures and validated them on other datasets. We …",,True,Concrete,False,True,,
EBES: Easy Benchmarking for Event Sequences,"D Osin,I Udovichenko,V Moskvoretskii… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2410.03399,"… As a result of our analysis, we provide recommendations for future research. Theserecommendations include possible pitfalls related to dataset usage and model evaluation. …",,True,Survey,False,False,,
A New Perspective on Transformers in Online Reinforcement Learning for Continuous Control,"N Kachaev,D Zelezetsky,A Kovalev… - 7th Robot Learning … - openreview.net",https://openreview.net/forum?id=nfh9PSaASy,… As a result we form a set of recommendations and practical takeaways about how to developstable approaches of transformer training. We hope that our work will help in understanding …,,True,Concrete,False,False,,
Fine-grained global modeling learning for personalized federated sequential recommender,"Y Di,H Shi,R Ma, Y Liu, W Wang - ICASSP 2025-2025 IEEE …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10889033/,… Consumer electronics recommendations rely on personalized sequential recommender …to enhance user experience and satisfaction by delivering tailored recommendations [7]–[9]. …,Cited by 1,True,Concrete,True,True,Conference,IEEE ICASSP 2025
Covariance Attention Guidance Mamba Hashing for cross-modal retrieval,"G Wang,S Cheng, A Du,Q Zou- Engineering Applications of Artificial …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0952197625007778,"With the rapid development of artificial intelligence and multimedia technology, cross-modalhashing (CMH) has been widely applied in multimedia retrieval, recommendation systems, …",,True,Concrete,True,True,Journal,Engineering Applications of Artificial Intelligence
Exploring Graph Mamba: A Comprehensive Survey on State-Space Models for Graph Learning,"SB Atitallah,CB Rabah,M Driss,W Boulila… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2412.18322,"Graph Mamba, a powerful graph embedding technique, has emerged as a cornerstone invarious domains, including bioinformatics, social networks, and recommendation systems. …",,True,Concrete,False,True,,
"Benchmarking post-training quantization in llms: Comprehensive taxonomy, unified evaluation, and comparative analysis","J Zhao, M Wang,M Zhang,Y Shang, X Liu… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2502.13178,… We believe our PTQ-Bench will provide valuable recommendations for future research onadvanced PTQ methods. The repository for our PTQ-Bench is available at https://github. com/…,,True,Survey,False,False,,
Revisiting multi-modal emotion learning with broad state space models and probability-guidance fusion,"Y Shou, T Meng, F Zhang, N Yin,K Li- arXiv preprint arXiv:2404.17858, 2024 - arxiv.org",https://arxiv.org/abs/2404.17858,"Multi-modal Emotion Recognition in Conversation (MERC) has received considerableattention in various fields, eg, human-computer interaction and recommendation systems. Most …",,True,Concrete,False,True,,
Understanding Language Models Through Discovery and by Design,JW Hewitt- 2024 - search.proquest.com,https://search.proquest.com/openview/b63afe531b73d4ac324000e299405114/1?pq-origsite=gscholar&cbl=18750&diss=y,"… Rajiv wrote me a letter of recommendation for a research program after I received a C+ in …Ani Nenkova also wrote me a letter of recommendation for the same program, despite the fact …",Related articles,False,,,,,
"Mamba-360: Survey of state space models as transformer alternative for long sequence modelling: Methods, applications, and challenges","BN Patro,VS Agneeswaran- arXiv preprint arXiv:2404.16112, 2024 - arxiv.org",https://arxiv.org/abs/2404.16112,"… , our survey highlights the need for further investigation into the relative strengths of SSMsand transformers across a range of tasks, including time series prediction, recommendation …",,True,Survey,False,True,,
Deep time series models: A comprehensive survey and benchmark,"Y Wang,H Wu,J Dong,Y Liu,M Long… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2407.13278,"Time series, characterized by a sequence of data points arranged in a discrete-time order,are ubiquitous in real-world applications. Different from other modalities, time series present …",,True,Survey,False,False,,
Uncertainty Representations in State-Space Layers for Deep Reinforcement Learning under Partial Observability,"CE Luis,AG Bottero,J Vinogradska… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.16824,"… We present aggregated performance in Figure 7 following the recommendations from (Agarwalet al., 2021). Detailed training curves are included in Appendix F. We now discuss the …",,True,Concrete,False,False,,
Dyg-mamba: Continuous state space modeling on dynamic graphs,"D Li,S Tan,Y Zhang,M Jin,S Pan, M Okumura… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.06966,"Dynamic graph learning aims to uncover evolutionary laws in real-world systems, enablingaccurate social recommendation (link prediction) or early detection of cancer cells (…",,True,Survey,False,True,,
Discovering nuclear localization signal universe through a novel deep learning model with interpretable attention units,"YF Li,X Pan, HB Shen - bioRxiv, 2024 - biorxiv.org",https://www.biorxiv.org/content/10.1101/2024.08.10.606103.abstract,"… We set a threshold for recommendation, and segments with a potential NLS … therecommendation system on model performance, we apply different thresholds for NLS …",,False,,,,,
How far are today's time-series models from real-world weather forecasting applications?,"T Han, S Guo, Z Chen,W Xu,L Bai- arXiv preprint arXiv:2406.14399, 2024 - arxiv.org",https://arxiv.org/abs/2406.14399,"… Finally, we summarise the result into recommendations to the users and highlight potentialareas required to facilitate further TSF research. The dataset and benchmark implementation …",,True,Concrete,False,False,,
Efficient self-supervised video hashing with selective state spaces,"J Wang, N Lian,J Li,Y Wang,Y Feng,B Chen… - Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/32835,… Content-based retrieval is a basic component in video search and recommendation.Hashing has been widely explored in this context to facilitate fast retrieval and reduce memory …,,True,Concrete,False,True,,
Artificial Intelligence in Creative Industries: Advances Prior to 2025,"N Anantrasirichai,F Zhang,D Bull- arXiv preprint arXiv:2501.02725, 2025 - arxiv.org",https://arxiv.org/abs/2501.02725,"… Essentially, a recommendation engine is a system that suggests products, services, …recommendations, with potential for further growth. Notable examples include the recommendation …",,True,Survey,False,False,,
