Title,Authors,Link,Abstract,Citations
[HTML][HTML]State space models based efficient long documents classification,"B Song, Y Xu, P Liang, Y Wu - Journal of Intelligent Learning Systems and …, 2024 - scirp.org",https://www.scirp.org/journal/paperinformation?paperid=133869,"… this gap by developing a Mamba-based model, for … Mamba model surpasses NLP modelssuch as BERT and Longformer showcasing exceptional performance and highlighting Mamba’…",
CollaMamba: Efficient Collaborative Perception with Cross-Agent Spatial-Temporal State Space Model,"Y Li,Q Yuan,G Luo, X Fu,X Zhu, Y Yang… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.07714,"… Therefore, during the training of CollaMamba, we recommend pre-training the BEV encoder… the parameters of the Mamba Encoder, CrossAgent Fusion, and Mamba-Decoder modules. …",
Computation-efficient era: A comprehensive survey of state space models in medical image analysis,"M Heidari,SG Kolahi, S Karimijafarbigloo… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2406.03430,"… encyclopedic review of Mamba models in … Mamba architecture and its alternatives forsequence modeling paradigms in this context. Next, we offer a structured classification of Mamba …",
GeoMamba: Towards Efficient Geography-aware Sequential POI Recommendation,"J Chen, H Wang, J Shang - IEEE Access, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10719990/,"… the feasibility of Mamba architecture in sequential POI recommendation. In addition to theinherited merits of effectiveness and efficiency, we present a Mamba-based geography …",
Stuffed Mamba: Oversized States Lead to the Inability to Forget,"Y Chen,X Zhang,S Hu,X Han,Z Liu,M Sun- arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2410.07145,"… For completeness, we give a more detailed formulation of the Mamba-2 architecture here,although we recommend the readers refer to the original paper (Dao & Gu, 2024) or a detailed …",
Efficient Self-Supervised Video Hashing with Selective State Spaces,"J Wang, N Lian,J Li,Y Wang,Y Feng,B Chen… - Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/32835,"… from Mamba, an advanced state-space model, … , a Mamba-based video hashing model withan improved self-supervised learning paradigm. Specifically, we design bidirectional Mamba …",
Mambaforgcn: Enhancing long-range dependency with state space model and kolmogorov-arnold networks for aspect-based sentiment analysis,"A Lawan, J Pu,H Yunusa,A Umar,M Lawan- arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2407.10347,"… and the surge of user-generated content, sentiment analysis has become increasinglysignificant for applications like customer feedback analysis and product recommendation systems. …",
SHMamba: Structured Hyperbolic State Space Model for Audio-Visual Question Answering,"Z Yang,W Li, G Cheng - arXiv preprint arXiv:2406.09833, 2024 - arxiv.org",https://arxiv.org/abs/2406.09833,"… : Structured Hyperbolic State Space Model. SHMamba … audiovisual data, while the StateSpace Model (SSM) captures … adopt the structured state space model proposed by mamba [20]…",
Topological deep learning with state-space models: A mamba approach for simplicial complexes,"M Montagna,S Scardapane,L Telyatnikov- arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.12033,… The Mamba model takes as input a batch of sequences and outputs their updatedrepresentation. To be able to use Mamba we construct a sequence for each node from the simplicial …,
Mamba-Based Graph Convolutional Networks: Tackling Over-smoothing with Selective State Space,"X He,Y Wang,W Fan,X Shen, X Juan, R Miao… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2501.15461,"… The S3TL introduces a selective state space mechanism that identifies and retains the most… to integrate the Mamba paradigm into GNNs, using its selective state space mechanism to …",
Test-Time Alignment for Tracking User Interest Shifts in Sequential Recommendation,"C Zhang,X Zhang,T Shi,J Xu,JR Wen- arXiv preprint arXiv:2504.01489, 2025 - arxiv.org",https://arxiv.org/abs/2504.01489,"… sequential recommendation tasks, we propose T2ARec, a method that integrates a state space… , which is developed based on the Mamba-2 architecture and can dynamically represent …",
Uncertainty Representations in State-Space Layers for Deep Reinforcement Learning under Partial Observability,"CE Luis,AG Bottero,J Vinogradska… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.16824,"… as recurrent neural networks, deterministic state-space models and transformers. Inspired …that performs closed-form Gaussian inference in linear state-space models and train it end-to-…",
Data-Driven Strategies for Complex System Forecasts: The Role of Textual Big Data and State-Space Transformers in Decision Support,"H Huo, W Guo, R Yang, X Liu, J Xue, Q Peng, Y Deng… - Systems, 2024 - mdpi.com",https://www.mdpi.com/2079-8954/12/5/171,… state space-based Transformer model is proposed to address the challenges of complexsystem prediction tasks. By integrating state space … The state space-based Transformer model …,
Breaking determinism: Fuzzy modeling of sequential recommendation using discrete state space diffusion model,"W Xie,H Wang,L Zhang, R Zhou… - Advances in Neural …, 2024 - proceedings.neurips.cc",https://proceedings.neurips.cc/paper_files/paper/2024/hash/286d67ff96f99c614f75dbcfb72a3e5f-Abstract-Conference.html,"… However, in recommendation tasks, the number of items … state space. Inspired by VQ-Recand the recently proposed Tiger model by Google, we attempt to train recommendation models …",
Samba: Semantic segmentation of remotely sensed images with state space model,"Q Zhu,Y Cai,Y Fang, Y Yang,C Chen,L Fan… - Heliyon, 2024 - cell.com",https://www.cell.com/heliyon/fulltext/S2405-8440(24)14526-4,"… Inspired by the Mamba network, which is based on a state space model (SSM) to efficiently… , setting a new performance benchmark for Mamba-based techniques in this domain of …",
SAMamba: Integrating State Space Model for Enhanced Multi-modal Survival Analysis,"W Zhang, T Chen, W Xu, X Li - 2024 IEEE International …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10822595/,"… Survival Analysis Mamba (SAMamba), a novel approach that melds the Mamba framework… Subsequently, we introduce Mamba structures to capture the intrinsic relationships within …",
RankMamba: Benchmarking Mamba's Document Ranking Performance in the Era of Transformers,"Z Xu- arXiv preprint arXiv:2403.18276, 2024 - arxiv.org",https://arxiv.org/abs/2403.18276,"… Mamba which is based on state space models, has achieved transformer-equivalent performancein multiple sequence modeling tasks. In this work, we examine Mamba’… that (1) Mamba …",
Glint-ru: Gated lightweight intelligent recurrent units for sequential recommender systems,"S Zhang,M Wang, W Wang,J Gao,X Zhao… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2406.10244,"Transformer-based models have gained significant traction in sequential recommendersystems (SRSs) for their ability to capture user-item interactions effectively. However, these …",
Is mamba compatible with trajectory optimization in offline reinforcement learning?,"Y Dai,O Ma, L Zhang, X Liang,S Hu… - Advances in …, 2024 - proceedings.neurips.cc",https://proceedings.neurips.cc/paper_files/paper/2024/hash/5c186016d0844767209dc36e9e61441b-Abstract-Conference.html,"… Mamba, a promising new linear-… Mamba is compatible with trajectory optimization, thiswork aims to conduct comprehensive experiments to explore the potential of Decision Mamba (…",
Multimodal Instruction Tuning with Hybrid State Space Models,"J Zhou,H Li,S Zhang,N Xie, R Wang, X Nie… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2411.08840,"… To circumvent this issue while keeping the remarkable effectiveness of MLLMs, wepropose a novel approach using a hybrid transformer-MAMBA model to efficiently handle long …",Cited by 1
Simplified mamba with disentangled dependency encoding for long-term time series forecasting,"Z Weng,J Han,W Jiang,H Liu- arXiv preprint arXiv:2408.12068, 2024 - arxiv.org",https://arxiv.org/abs/2408.12068,"… , Mamba also demonstrates great potential in solving LTST task. Through extensive experiments,we identify that Mamba … To mitigate this, we propose a simplified Mamba by removing …",
SST: Multi-Scale Hybrid Mamba-Transformer Experts for Long-Short Range Time Series Forecasting,"X Xu,C Chen,Y Liang,B Huang,G Bai,L Zhao… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2404.14757,"… • We propose a novel hybrid Mamba-Transformer experts architecture SST, with Mamba asa global patterns expert in long range, and LWT as a local variations expert in short range. A …",
A Survey on Mamba Architecture for Vision Applications,"F Ibrahim,G Liu,G Wang- arXiv preprint arXiv:2502.07161, 2025 - arxiv.org",https://arxiv.org/abs/2502.07161,"… Mamba architecture for visual domain applications and its recent advancements, includingVision Mamba (… surveys that cover applications in text, recommendation systems, and medical …",
Hierarchical state space models for continuous sequence-to-sequence modeling,"R Bhirangi, C Wang,V Pattabiraman,C Majidi… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2402.10211,"… We show that Hierarchical State Space Models (HiSS) … This allows Mamba to achieve highperformance on a range of … of SSMs like S4 and Mamba on sensory CSP tasks, and show …",
[CITATION][C]Graph-Mamba 기반 POI 추천 시스템,"최민규， 임성수 - 한국통신학회 인공지능 학술대회 논문집, 2024 - dbpia.co.kr",https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE11949238,… 전체 모델은 Graph-Mamba 블록과 Recommender 블록으로 구성된다. Graph-Mamba 블록에서 입력 그래프의 노드 표현을 학습할 수 있다. 다음 POI 추천을 위해 GNN 과 트랜스포머를 …,Related articles
Hypergraph Neural Network with State Space Models for Node,"A Quadir,M Tanveer- Available at SSRN 5279537 - papers.ssrn.com",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5279537,"… we introduce the hypergraph NN with state space model (… HGMN integrates a mambatransformer mechanism with … We propose a novel hypergraph NN with state space model (HGMN), …",
Mamba fusion: Learning actions through questioning,"Z Dong,A Beedu, J Sheinkopf,I Essa- arXiv preprint arXiv:2409.11513, 2024 - arxiv.org",https://arxiv.org/abs/2409.11513,"… , a novel selective state space fusion model designed to … transition matrix within the selectivestate space models (SSMs) … approach based on the selective statespace model, which can …",
MUFM: A Mamba-Enhanced Feedback Model for Micro Video Popularity Prediction,"J Lu,M Xiao,W Wang,Y Du,Y Cui, J Zhao… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2411.15455,"… To better understand user responses, we use the Mamba Hawkes process, training on a …the Mamba Hawkes process to recreate the video’s spread and produce a recommendation …",
Enhancing Long-range Dependency with State Space Model and Kolmogorov-Arnold Networks for Aspect-based Sentiment Analysis,"A Lawan, J Pu,H Yunusa,A Umar… - Proceedings of the 31st …, 2025 - aclanthology.org",https://aclanthology.org/2025.coling-main.148/,"… sentiment analysis has become increasingly significant for applications like customer feedbackanalysis and product recommendation systems. However, traditional sentiment analysis …",
A hybrid model based on transformer and Mamba for enhanced sequence modeling,"X Zhu, Q Ruan, S Qian, M Zhang - Scientific Reports, 2025 - nature.com",https://www.nature.com/articles/s41598-025-87574-8,"… To obtain the best experience, we recommend you use a more up to date browser (or turnoff compatibility mode in Internet Explorer). In the meantime, to ensure continued support, we …",
On Causally Disentangled State Representation Learning for Reinforcement Learning based Recommender Systems,"S Wang, X Chen,L Yao- Proceedings of the 33rd ACM International …, 2024 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3627673.3679674?casa_token=9DOHC-Xo3lkAAAAA:Y-Pw66nqE4BA5qYwcYEsQDxF8rtj91fsrBi5qKVIzr8Jm5irti2A3IGWCoWRBb-Ndxs0hKSEvMbE8w,"… This novel framework enables training on a refined subset of the state space, significantlyenhancing recommendation accuracy and efficiency, as demonstrated in our extensive …",
ShadowMamba: State-Space Model with Boundary-Region Selective Scan for Shadow Removal,"X Zhu,CO Chow,JH Chuah- arXiv preprint arXiv:2411.03260, 2024 - arxiv.org",https://arxiv.org/abs/2411.03260,"… Recently, Mamba has achieved remarkable success in … removal, the original Mambascanning method overlooks the … We name our model ShadowMamba, the first Mamba-based …",Related articles
EfficientState Space Model viaFast Tensor Convolutionand Block Diagonalization,"T Liang, HX Li - arXiv preprint arXiv:2402.15290, 2024 - arxiv.org",https://arxiv.org/abs/2402.15290,"… Although the state space model (SSM) has achieved … SSM, we propose a new state spacelayer based on multiple-input … % of LSTM and 13.24% of Mamba. The training speed of eSSM …",
Locating and editing factual associations in mamba,"AS Sharma,D Atkinson,D Bau- arXiv preprint arXiv:2404.03646, 2024 - arxiv.org",https://arxiv.org/abs/2404.03646,"… We investigate the mechanisms of factual recall in the Mamba state space model. … Mambacan be similarly localized. To investigate this, we conduct four lines of experiments on Mamba. …",
Hamba: Single-view 3d hand reconstruction with graph-guided bi-scanning mamba,"H Dong, A Chharia,W Gou… - Advances in …, 2024 - proceedings.neurips.cc",https://proceedings.neurips.cc/paper_files/paper/2024/hash/03e9a69e5b686c316a07d73f0cf5e225-Abstract-Conference.html,"… Note that for reproducing the results, we recommend directly loading the released Hambaweights from the GitHub repository. For training from scratch, we recommend using the same …",
MambaHealth: A Lightweight Foundation Model for Efficient Drug Recommendation,"Y Wang,X He,S Zhu- Advancements In Medical Foundation Models … - openreview.net",https://openreview.net/forum?id=LWXi4leVdV,"… We introduce MambaHealth, a lightweight and efficient foundation model designed to … thenfine-tuned for applications such as drug recommendation, multi-diagnosis management, and …",
Hyperbolic Variational Graph Auto-Encoder for Next POI Recommendation,"Y Liu,L Qi,X Mao, W Liu,F Wang,X Xu… - Proceedings of the …, 2025 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3696410.3714804?casa_token=alj8T_biMHsAAAAA:DfHGrE15x3TgZ9PjV4xiEJ-QEUOZZ8hD3hRIQDep8ctMZGzh-AlkwhWW_H6ynKFq1ofjJD5QQ6YY-A,"… Mamba as the recommender. This is because RPMamba is based on a selective state-space …In addition, Mamba’s architecture removes the traditional attention mechanism and multi-…",
Image Representation Learning with Masked Image Modeling Pre-training in Vision Mamba State Space Models,A Duyum - 2024 - essay.utwente.nl,http://essay.utwente.nl/100979/,"Vision Mamba, recognized for its computational and memory efficiency, addresses the need …This paper improves Vision Mamba by integrating Masked Auto-encoders (MAEs) to …",
An efficient fire detection algorithm based on Mamba space state linear attention,"Y Li, Y Wang, X Shao, A Zheng - Scientific Reports, 2025 - nature.com",https://www.nature.com/articles/s41598-025-95162-z,"… To obtain the best experience, we recommend you use a more up to date browser (or turnoff compatibility mode in Internet Explorer). In the meantime, to ensure continued support, we …",
Mamba4KT: An Efficient and Effective Mamba-based Knowledge Tracing Model,"Y Cao,W Zhang- arXiv preprint arXiv:2405.16542, 2024 - arxiv.org",https://arxiv.org/abs/2405.16542,… We also examine the interpretability of the Mamba structure both sequence-level andexercise-level to enhance model interpretability. Experimental findings across three public …,
Venturing into uncharted waters: The navigation compass from transformer to mamba,"Y Zou, Y Chen,Z Li, L Zhang, H Zhao - arXiv preprint arXiv:2406.16722, 2024 - arxiv.org",https://arxiv.org/abs/2406.16722,… models; (ii) the proposed improvements and the integration of Mamba with various … Mambato compensate for each other’s shortcomings. We have also made efforts to interpret Mamba …,
Frequency-Augmented Mixture-of-Heterogeneous-Experts Framework for Sequential Recommendation,"J Zhang,R Xie, H Lu, W Sun,WX Zhao… - Proceedings of the …, 2025 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3696410.3714663?casa_token=QcnIkwhRzzsAAAAA:R0HGq5B71iac1r-lMpoMRyX1pqKe1ocAGO1w-CZwqFUfpsOES1ja740mm7g3KeBJE9LSxHw41c2PMQ,"… We tune the number of experts in {3, 4} We may exclude the Mamba expert due to itstraining instability). During training, we activate all the experts to optimize the proposed contrastive …",
Mamba hawkes process,"A Gao, S Dai,Y Hu- arXiv preprint arXiv:2407.05302, 2024 - arxiv.org",https://arxiv.org/abs/2407.05302,… Mamba and Transformer models to enhance predictive capabilities. We present the novelapplication of the Mamba … of the synergy between state space models and Hawkes processes. …,
Toward secure industrial internet of behaviours: a federated learning-based lightweight human behaviour recognition method with selective state space models,"B Hu,R Zhong, Y Feng, J Yang, P Li… - International Journal of …, 2025 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/00207543.2024.2448604?casa_token=soP0AdahfZoAAAAA:L9_m4RKdud3WzVPgZYK8zJ3CU6nrFr-jGpkBM1Xieqzy7qM5Bymk7kp8U_f1XRHhwIaojTIIQMsy1tG8-A,"… (11) In summary, we define the Mamba model as a distinct structural block, called a Mambablock. A feature extractor integrating the Mamba block and residual structure (ResMamba) is …",
"Modeling Long Sequences in Bladder Cancer Recurrence: A Comparative Evaluation of LSTM, Transformer, and Mamba","R Zhang, J Jiang, X Shi - arXiv preprint arXiv:2405.18518, 2024 - arxiv.org",https://arxiv.org/abs/2405.18518,"… as Transformer [11]and Mamba [12]has further pushed the … [13],while Mamba’s selectivestate space approach provides … LSTM,Transformer,and Mamba models in analyzing bladder …",
FinMamba: Market-Aware Graph Enhanced Multi-Level Mamba for Stock Movement Prediction,"Y Hu,P Liu, Y Li,D Cheng,N Li,T Dai, J Bao… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2502.06707,"… the original Mamba for individual stock modeling and SAMBA [27] using bidirectional Mambablocks to capture long-term dependencies. In our work, we enhance Mamba by modeling …",
Mamba: A Competitive Alternative to Lstm for Soil Moisture Retrieval,"S Du,Y Zha,L Shi- Available at SSRN 4962468 - papers.ssrn.com",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4962468,"… Our results demonstrate that mamba is a competitive … Additionally, we are curious about howmuch the mamba's … In this study, we investigate the performance of mamba in SM estimation …",
TTT4Rec: A Test-Time Training Approach for Rapid Adaption in Sequential Recommendation,"Z Yang,Y Wang,Y Ge- arXiv preprint arXiv:2409.19142, 2024 - arxiv.org",https://arxiv.org/abs/2409.19142,"… Mamba4rec: Towards efficient sequential recommendation with selective state space models.arXiv preprint arXiv:2403.03900 (2024). [8] Xin Liu, Yong Liu, Karl Aberer, and Chunyan …",
Retentive decision transformer with adaptive masking for reinforcement learning based recommendation systems,"S Wang,X Chen,L Yao- arXiv preprint arXiv:2403.17634, 2024 - arxiv.org",https://arxiv.org/abs/2403.17634,"… ...,𝑇, the goal of an RL-based Recommender System is to leverage historical interaction datato … MDP, tailored for recommendation, are: • State Space (S): The state space represents the …",
