published,Title,Survey 대상인가,요약,특이사항,Code,arxiv_abstract,Authors,Link,Citations
2024년 4월 25일 오전 2:10 (GMT+8),"Mamba-360: Survey of state space models as transformer alternative for long sequence modelling: Methods, applications, and challenges",Survey-RecSys-Related,,Mamba + Time Series Analysis (Survey),,"Sequence modeling is a crucial area across various domains, including Natural
Language Processing (NLP), speech recognition, time series forecasting, music
generation, and bioinformatics. Recurrent Neural Networks (RNNs) and Long Short
Term Memory Networks (LSTMs) have historically dominated sequence modeling
tasks like Machine Translation, Named Entity Recognition (NER), etc. However,
the advancement of transformers has led to a shift in this paradigm, given
their superior performance. Yet, transformers suffer from $O(N^2)$ attention
complexity and challenges in handling inductive bias. Several variations have
been proposed to address these issues which use spectral networks or
convolutions and have performed well on a range of tasks. However, they still
have difficulty in dealing with long sequences. State Space Models(SSMs) have
emerged as promising alternatives for sequence modeling paradigms in this
context, especially with the advent of S4 and its variants, such as S4nd,
Hippo, Hyena, Diagnol State Spaces (DSS), Gated State Spaces (GSS), Linear
Recurrent Unit (LRU), Liquid-S4, Mamba, etc. In this survey, we categorize the
foundational SSMs based on three paradigms namely, Gating architectures,
Structural architectures, and Recurrent architectures. This survey also
highlights diverse applications of SSMs across domains such as vision, video,
audio, speech, language (especially long sequence modeling), medical (including
genomics), chemical (like drug design), recommendation systems, and time series
analysis, including tabular data. Moreover, we consolidate the performance of
SSMs on benchmark datasets like Long Range Arena (LRA), WikiText, Glue, Pile,
ImageNet, Kinetics-400, sstv2, as well as video datasets such as Breakfast,
COIN, LVU, and various time series datasets. The project page for Mamba-360
work is available on this webpage.\url{https://github.com/badripatro/mamba360}.","BN Patro,VS Agneeswaran- arXiv preprint arXiv:2404.16112, 2024 - arxiv.org",https://arxiv.org/abs/2404.16112,
2024년 4월 15일 오후 3:24 (GMT+8),State space model for new-generation network alternative to transformers: A survey,Survey-Non-RecSys,,맘바 Survey 논문,,"In the post-deep learning era, the Transformer architecture has demonstrated
its powerful performance across pre-trained big models and various downstream
tasks. However, the enormous computational demands of this architecture have
deterred many researchers. To further reduce the complexity of attention
models, numerous efforts have been made to design more efficient methods. Among
them, the State Space Model (SSM), as a possible replacement for the
self-attention based Transformer model, has drawn more and more attention in
recent years. In this paper, we give the first comprehensive review of these
works and also provide experimental comparisons and analysis to better
demonstrate the features and advantages of SSM. Specifically, we first give a
detailed description of principles to help the readers quickly capture the key
ideas of SSM. After that, we dive into the reviews of existing SSMs and their
various applications, including natural language processing, computer vision,
graph, multi-modal and multi-media, point cloud/event stream, time series data,
and other domains. In addition, we give statistical comparisons and analysis of
these models and hope it helps the readers to understand the effectiveness of
different structures on various tasks. Then, we propose possible research
points in this direction to better promote the development of the theoretical
model and application of SSM. More related works will be continuously updated
on the following GitHub:
https://github.com/Event-AHU/Mamba_State_Space_Model_Paper_List.","X Wang, S Wang,Y Ding,Y Li, W Wu, Y Rong… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2404.09516,
2024년 8월 13일 오후 11:21 (GMT+8),Dyg-mamba: Continuous state space modeling on dynamic graphs,Survey-RecSys-Related,,그래프 시퀀스모델링  맘바 Survey 논문,,"Dynamic graph learning aims to uncover evolutionary laws in real-world
systems, enabling accurate social recommendation (link prediction) or early
detection of cancer cells (classification). Inspired by the success of state
space models, e.g., Mamba, for efficiently capturing long-term dependencies in
language modeling, we propose DyG-Mamba, a new continuous state space model
(SSM) for dynamic graph learning. Specifically, we first found that using
inputs as control signals for SSM is not suitable for continuous-time dynamic
network data with irregular sampling intervals, resulting in models being
insensitive to time information and lacking generalization properties. Drawing
inspiration from the Ebbinghaus forgetting curve, which suggests that memory of
past events is strongly correlated with time intervals rather than specific
details of the events themselves, we directly utilize irregular time spans as
control signals for SSM to achieve significant robustness and generalization.
Through exhaustive experiments on 12 datasets for dynamic link prediction and
dynamic node classification tasks, we found that DyG-Mamba achieves
state-of-the-art performance on most of the datasets, while also demonstrating
significantly improved computation and memory efficiency.","D Li,S Tan,Y Zhang,M Jin,S Pan, M Okumura… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.06966,
2024년 12월 24일 오후 6:17 (GMT+8),Exploring Graph Mamba: A Comprehensive Survey on State-Space Models for Graph Learning,Survey-RecSys-Related,,그래프 맘바 Survey 논문,,"Graph Mamba, a powerful graph embedding technique, has emerged as a
cornerstone in various domains, including bioinformatics, social networks, and
recommendation systems. This survey represents the first comprehensive study
devoted to Graph Mamba, to address the critical gaps in understanding its
applications, challenges, and future potential. We start by offering a detailed
explanation of the original Graph Mamba architecture, highlighting its key
components and underlying mechanisms. Subsequently, we explore the most recent
modifications and enhancements proposed to improve its performance and
applicability. To demonstrate the versatility of Graph Mamba, we examine its
applications across diverse domains. A comparative analysis of Graph Mamba and
its variants is conducted to shed light on their unique characteristics and
potential use cases. Furthermore, we identify potential areas where Graph Mamba
can be applied in the future, highlighting its potential to revolutionize data
analysis in these fields. Finally, we address the current limitations and open
research questions associated with Graph Mamba. By acknowledging these
challenges, we aim to stimulate further research and development in this
promising area. This survey serves as a valuable resource for both newcomers
and experienced researchers seeking to understand and leverage the power of
Graph Mamba.","SB Atitallah,CB Rabah,M Driss,W Boulila… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2412.18322,
,Graph mamba: Towards learning on graphs with state space models,Concrete-RecSys-Related,,그래프 맘바 Concrete Method,,,"A Behrouz,F Hashemi- Proceedings of the 30th ACM SIGKDD …, 2024 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3637528.3672044?casa_token=SiUkd6j_wmYAAAAA:yLPulzKjyehKcmr7BMgVnHKq43p87A0shKYi_EHSFo08hbNEL3tfFLIwIZ53iboXMGXqo65EtYhR4A,
,SIGMA: Selective Gated Mamba for Sequential Recommendation,Concrete-RecSys,,,,,"Z Liu,Q Liu, Y Wang, W Wang,P Jia, M Wang… - Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/33336,
2024년 2월 2일 오전 1:21 (GMT+8),Graph-mamba: Towards long-range graph sequence modeling with selective state spaces,Concrete-RecSys-Related,,그래프 맘바 Concrete Method,,"Attention mechanisms have been widely used to capture long-range dependencies
among nodes in Graph Transformers. Bottlenecked by the quadratic computational
cost, attention mechanisms fail to scale in large graphs. Recent improvements
in computational efficiency are mainly achieved by attention sparsification
with random or heuristic-based graph subsampling, which falls short in
data-dependent context reasoning. State space models (SSMs), such as Mamba,
have gained prominence for their effectiveness and efficiency in modeling
long-range dependencies in sequential data. However, adapting SSMs to
non-sequential graph data presents a notable challenge. In this work, we
introduce Graph-Mamba, the first attempt to enhance long-range context modeling
in graph networks by integrating a Mamba block with the input-dependent node
selection mechanism. Specifically, we formulate graph-centric node
prioritization and permutation strategies to enhance context-aware reasoning,
leading to a substantial improvement in predictive performance. Extensive
experiments on ten benchmark datasets demonstrate that Graph-Mamba outperforms
state-of-the-art methods in long-range graph prediction tasks, with a fraction
of the computational cost in both FLOPs and GPU memory consumption. The code
and models are publicly available at https://github.com/bowang-lab/Graph-Mamba.","C Wang, O Tsepa,J Ma,B Wang- arXiv preprint arXiv:2402.00789, 2024 - arxiv.org",https://arxiv.org/abs/2402.00789,
,A Local context enhanced Consistency-aware Mamba-based Sequential Recommendation model,Concrete-RecSys,,,,,"Z Zhang,B Yang, Y Lu - Information Processing & Management, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0306457325000184,Related articles
2024년 9월 11일 오후 10:26 (GMT+8),Mamba for Scalable and Efficient Personalized Recommendations,Concrete-RecSys,,,,"In this effort, we propose using the Mamba for handling tabular data in
personalized recommendation systems. We present the \textit{FT-Mamba} (Feature
Tokenizer\,$+$\,Mamba), a novel hybrid model that replaces Transformer layers
with Mamba layers within the FT-Transformer architecture, for handling tabular
data in personalized recommendation systems. The \textit{Mamba model} offers an
efficient alternative to Transformers, reducing computational complexity from
quadratic to linear by enhancing the capabilities of State Space Models (SSMs).
FT-Mamba is designed to improve the scalability and efficiency of
recommendation systems while maintaining performance. We evaluate FT-Mamba in
comparison to a traditional Transformer-based model within a Two-Tower
architecture on three datasets: Spotify music recommendation, H\&M fashion
recommendation, and vaccine messaging recommendation. Each model is trained on
160,000 user-action pairs, and performance is measured using precision (P),
recall (R), Mean Reciprocal Rank (MRR), and Hit Ratio (HR) at several
truncation values. Our results demonstrate that FT-Mamba outperforms the
Transformer-based model in terms of computational efficiency while maintaining
or exceeding performance across key recommendation metrics. By leveraging Mamba
layers, FT-Mamba provides a scalable and effective solution for large-scale
personalized recommendation systems, showcasing the potential of the Mamba
architecture to enhance both efficiency and accuracy.","A Starnes,C Webster- arXiv preprint arXiv:2409.17165, 2024 - arxiv.org",https://arxiv.org/abs/2409.17165,
2024년 3월 19일 오후 12:02 (GMT+8),Stg-mamba: Spatial-temporal graph learning via selective state space model,Concrete-RecSys-Related,,그래프 맘바 Concrete Method,,"Spatial-Temporal Graph (STG) data is characterized as dynamic, heterogenous,
and non-stationary, leading to the continuous challenge of spatial-temporal
graph learning. In the past few years, various GNN-based methods have been
proposed to solely focus on mimicking the relationships among node individuals
of the STG network, ignoring the significance of modeling the intrinsic
features that exist in STG system over time. In contrast, modern Selective
State Space Models (SSSMs) present a new approach which treat STG Network as a
system, and meticulously explore the STG system's dynamic state evolution
across temporal dimension. In this work, we introduce Spatial-Temporal Graph
Mamba (STG-Mamba) as the first exploration of leveraging the powerful selective
state space models for STG learning by treating STG Network as a system, and
employing the Spatial-Temporal Selective State Space Module (ST-S3M) to
precisely focus on the selected STG latent features. Furthermore, to strengthen
GNN's ability of modeling STG data under the setting of selective state space
models, we propose Kalman Filtering Graph Neural Networks (KFGN) for
dynamically integrate and upgrade the STG embeddings from different temporal
granularities through a learnable Kalman Filtering statistical theory-based
approach. Extensive empirical studies are conducted on three benchmark STG
forecasting datasets, demonstrating the performance superiority and
computational efficiency of STG-Mamba. It not only surpasses existing
state-of-the-art methods in terms of STG forecasting performance, but also
effectively alleviate the computational bottleneck of large-scale graph
networks in reducing the computational cost of FLOPs and test inference time.
The implementation code is available at:
\url{https://github.com/LincanLi98/STG-Mamba}.","L Li,H Wang, W Zhang,A Coster- arXiv preprint arXiv:2403.12418, 2024 - arxiv.org",https://arxiv.org/abs/2403.12418,
2024년 8월 2일 오후 5:18 (GMT+8),A survey of mamba,Survey-Non-RecSys,,맘바 Survey 논문,,"As one of the most representative DL techniques, Transformer architecture has
empowered numerous advanced models, especially the large language models (LLMs)
that comprise billions of parameters, becoming a cornerstone in deep learning.
Despite the impressive achievements, Transformers still face inherent
limitations, particularly the time-consuming inference resulting from the
quadratic computation complexity of attention calculation. Recently, a novel
architecture named Mamba, drawing inspiration from classical state space models
(SSMs), has emerged as a promising alternative for building foundation models,
delivering comparable modeling abilities to Transformers while preserving
near-linear scalability concerning sequence length. This has sparked an
increasing number of studies actively exploring Mamba's potential to achieve
impressive performance across diverse domains. Given such rapid evolution,
there is a critical need for a systematic review that consolidates existing
Mamba-empowered models, offering a comprehensive understanding of this emerging
model architecture. In this survey, we therefore conduct an in-depth
investigation of recent Mamba-associated studies, covering three main aspects:
the advancements of Mamba-based models, the techniques of adapting Mamba to
diverse data, and the applications where Mamba can excel. Specifically, we
first review the foundational knowledge of various representative deep learning
models and the details of Mamba-1&2 as preliminaries. Then, to showcase the
significance of Mamba for AI, we comprehensively review the related studies
focusing on Mamba models' architecture design, data adaptability, and
applications. Finally, we present a discussion of current limitations and
explore various promising research directions to provide deeper insights for
future investigations.","H Qu,L Ning, R An,W Fan,T Derr,H Liu,X Xu… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.01129,
2024년 3월 19일 오후 12:02 (GMT+8),Stg-mamba: Spatial-temporal graph learning via selective state space model,Concrete-RecSys-Related,,그래프 맘바 Concrete Method,,"Spatial-Temporal Graph (STG) data is characterized as dynamic, heterogenous,
and non-stationary, leading to the continuous challenge of spatial-temporal
graph learning. In the past few years, various GNN-based methods have been
proposed to solely focus on mimicking the relationships among node individuals
of the STG network, ignoring the significance of modeling the intrinsic
features that exist in STG system over time. In contrast, modern Selective
State Space Models (SSSMs) present a new approach which treat STG Network as a
system, and meticulously explore the STG system's dynamic state evolution
across temporal dimension. In this work, we introduce Spatial-Temporal Graph
Mamba (STG-Mamba) as the first exploration of leveraging the powerful selective
state space models for STG learning by treating STG Network as a system, and
employing the Spatial-Temporal Selective State Space Module (ST-S3M) to
precisely focus on the selected STG latent features. Furthermore, to strengthen
GNN's ability of modeling STG data under the setting of selective state space
models, we propose Kalman Filtering Graph Neural Networks (KFGN) for
dynamically integrate and upgrade the STG embeddings from different temporal
granularities through a learnable Kalman Filtering statistical theory-based
approach. Extensive empirical studies are conducted on three benchmark STG
forecasting datasets, demonstrating the performance superiority and
computational efficiency of STG-Mamba. It not only surpasses existing
state-of-the-art methods in terms of STG forecasting performance, but also
effectively alleviate the computational bottleneck of large-scale graph
networks in reducing the computational cost of FLOPs and test inference time.
The implementation code is available at:
\url{https://github.com/LincanLi98/STG-Mamba}.","L Li,H Wang, W Zhang,A Coster- arXiv preprint arXiv:2403.12418, 2024 - arxiv.org",https://arxiv.org/abs/2403.12418,
,DG-Mamba: Robust and Efficient Dynamic Graph Structure Learning with Selective State Space Models,Concrete-RecSys-Related,,그래프 맘바 Concrete Method,,,"H Yuan,Q Sun, Z Wang,X Fu,C Ji, Y Wang… - Proceedings of the …, 2025 - ojs.aaai.org",https://ojs.aaai.org/index.php/AAAI/article/view/34382,
2025년 3월 14일 오후 5:20 (GMT+8),Technologies on Effectiveness and Efficiency: A Survey of State Spaces Models,Survey-Non-RecSys,,맘바 Survey 논문,,"State Space Models (SSMs) have emerged as a promising alternative to the
popular transformer-based models and have been increasingly gaining attention.
Compared to transformers, SSMs excel at tasks with sequential data or longer
contexts, demonstrating comparable performances with significant efficiency
gains. In this survey, we provide a coherent and systematic overview for SSMs,
including their theoretical motivations, mathematical formulations, comparison
with existing model classes, and various applications. We divide the SSM series
into three main sections, providing a detailed introduction to the original
SSM, the structured SSM represented by S4, and the selective SSM typified by
Mamba. We put an emphasis on technicality, and highlight the various key
techniques introduced to address the effectiveness and efficiency of SSMs. We
hope this manuscript serves as an introduction for researchers to explore the
theoretical foundations of SSMs.","X Lv,Y Sun,K Zhang,S Qu,X Zhu,Y Fan, Y Wu… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2503.11224,
